tourney_name,surface,tourney_level,winner_id,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_hand,loser_ht,loser_ioc,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
United Cup,Hard,A,126203,R,193.0,USA,25.1,126610,R,196.0,ITA,26.7,3,F,135.0,15.0,2.0,85.0,52.0,45.0,16.0,12.0,0.0,0.0,7.0,2.0,97.0,62.0,47.0,15.0,12.0,9.0,9.0
United Cup,Hard,A,126207,R,188.0,USA,24.9,207518,R,185.0,ITA,20.8,3,F,34.0,3.0,1.0,27.0,19.0,15.0,3.0,4.0,3.0,3.0,0.0,0.0,21.0,12.0,8.0,3.0,4.0,1.0,3.0
United Cup,Hard,A,126203,R,193.0,USA,25.1,128034,R,196.0,POL,25.8,3,SF,104.0,11.0,0.0,80.0,50.0,44.0,19.0,12.0,4.0,4.0,17.0,1.0,82.0,62.0,51.0,7.0,12.0,2.0,2.0
United Cup,Hard,A,126207,R,188.0,USA,24.9,200390,R,183.0,POL,23.9,3,SF,79.0,5.0,4.0,61.0,37.0,31.0,11.0,9.0,5.0,5.0,3.0,3.0,68.0,41.0,26.0,12.0,9.0,6.0,9.0
United Cup,Hard,A,126774,R,193.0,GRE,24.3,126610,R,196.0,ITA,26.7,3,SF,155.0,9.0,1.0,98.0,52.0,43.0,28.0,16.0,1.0,2.0,7.0,2.0,89.0,58.0,48.0,18.0,16.0,1.0,2.0
United Cup,Hard,A,207518,R,185.0,ITA,20.8,208852,U,186.5462915601023,GRE,18.3,3,SF,62.0,2.0,1.0,41.0,25.0,18.0,12.0,7.0,1.0,1.0,2.0,1.0,43.0,26.0,15.0,5.0,7.0,4.0,9.0
United Cup,Hard,A,126774,R,193.0,GRE,24.3,106432,R,188.0,CRO,26.1,3,RR,151.0,20.0,1.0,94.0,60.0,45.0,20.0,15.0,5.0,6.0,7.0,2.0,88.0,59.0,44.0,10.0,15.0,2.0,7.0
United Cup,Hard,A,127339,R,196.0,CRO,24.8,208852,U,186.5462915601023,GRE,18.3,3,RR,89.0,4.0,1.0,50.0,30.0,27.0,11.0,9.0,1.0,1.0,4.0,1.0,78.0,50.0,30.0,12.0,9.0,6.0,9.0
United Cup,Hard,A,126610,R,196.0,ITA,26.7,128034,R,196.0,POL,25.8,3,RR,116.0,11.0,1.0,77.0,49.0,37.0,18.0,14.0,2.0,4.0,12.0,1.0,79.0,49.0,36.0,16.0,14.0,1.0,4.0
United Cup,Hard,A,207518,R,185.0,ITA,20.8,207415,R,180.0,POL,22.9,3,RR,57.0,8.0,0.0,31.0,18.0,17.0,11.0,7.0,0.0,0.0,1.0,1.0,40.0,28.0,12.0,5.0,7.0,4.0,9.0
