winner_id;winner_hand;winner_age;loser_id;loser_hand;loser_age;best_of;round;w_ace;w_df;w_svpt;w_1stIn;w_1stWon;w_2ndWon;w_SvGms;w_bpSaved;w_bpFaced;l_ace;l_df;l_svpt;l_1stIn;l_1stWon;l_2ndWon;l_SvGms;l_bpSaved;l_bpFaced
126203;R;25.1;126610;R;26.7;3;F;15.0;2.0;85.0;52.0;45.0;16.0;12.0;0.0;0.0;7.0;2.0;97.0;62.0;47.0;15.0;12.0;9.0;9.0
126207;R;24.9;207518;R;20.8;3;F;3.0;1.0;27.0;19.0;15.0;3.0;4.0;3.0;3.0;0.0;0.0;21.0;12.0;8.0;3.0;4.0;1.0;3.0
126203;R;25.1;128034;R;25.8;3;SF;11.0;0.0;80.0;50.0;44.0;19.0;12.0;4.0;4.0;17.0;1.0;82.0;62.0;51.0;7.0;12.0;2.0;2.0
126207;R;24.9;200390;R;23.9;3;SF;5.0;4.0;61.0;37.0;31.0;11.0;9.0;5.0;5.0;3.0;3.0;68.0;41.0;26.0;12.0;9.0;6.0;9.0
126774;R;24.3;126610;R;26.7;3;SF;9.0;1.0;98.0;52.0;43.0;28.0;16.0;1.0;2.0;7.0;2.0;89.0;58.0;48.0;18.0;16.0;1.0;2.0
126774;R;24.3;106432;R;26.1;3;RR;20.0;1.0;94.0;60.0;45.0;20.0;15.0;5.0;6.0;7.0;2.0;88.0;59.0;44.0;10.0;15.0;2.0;7.0
126610;R;26.7;128034;R;25.8;3;RR;11.0;1.0;77.0;49.0;37.0;18.0;14.0;2.0;4.0;12.0;1.0;79.0;49.0;36.0;16.0;14.0;1.0;4.0
207518;R;20.8;207415;R;22.9;3;RR;8.0;0.0;31.0;18.0;17.0;11.0;7.0;0.0;0.0;1.0;1.0;40.0;28.0;12.0;5.0;7.0;4.0;9.0
111815;L;27.3;126203;R;25.1;3;RR;7.0;0.0;91.0;69.0;53.0;9.0;16.0;5.0;8.0;16.0;2.0;95.0;58.0;39.0;21.0;16.0;4.0;8.0
126207;R;24.9;105554;R;32.6;3;RR;10.0;1.0;87.0;46.0;32.0;24.0;15.0;7.0;10.0;9.0;3.0;82.0;46.0;35.0;17.0;15.0;5.0;9.0
126774;R;24.3;105676;R;32.0;3;RR;12.0;1.0;61.0;39.0;27.0;12.0;9.0;4.0;5.0;2.0;1.0;49.0;33.0;22.0;4.0;8.0;2.0;6.0
126774;R;24.3;105777;R;31.6;3;RR;12.0;1.0;95.0;72.0;56.0;12.0;15.0;8.0;9.0;11.0;2.0;87.0;55.0;44.0;19.0;15.0;6.0;8.0
